City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
ushuaia,-54.8,-68.3,31.66,93.0,40.0,20.71,AR,1631776818.0
victoria,22.2855,114.1577,93.16,72.0,39.0,1.01,HK,1631776806.0
sao filipe,14.8961,-24.4956,79.59,81.0,25.0,9.8,CV,1631776820.0
okhotsk,59.3833,143.3,57.09,76.0,99.0,10.11,RU,1631776822.0
ahipara,-35.1667,173.1667,58.95,97.0,67.0,6.89,NZ,1631776824.0
albany,42.6001,-73.9662,63.09,95.0,100.0,1.81,US,1631776824.0
sinnamary,5.3833,-52.95,78.37,85.0,2.0,6.17,GF,1631776825.0
punta arenas,-53.15,-70.9167,32.11,74.0,75.0,2.3,CL,1631776828.0
pevek,69.7008,170.3133,31.62,89.0,100.0,11.23,RU,1631776830.0
sturgis,41.7992,-85.4192,57.22,50.0,1.0,0.0,US,1631776832.0
rikitea,-23.1203,-134.9692,73.87,71.0,0.0,14.97,PF,1631776834.0
nantucket,41.2835,-70.0995,73.99,94.0,1.0,8.05,US,1631776836.0
kahului,20.8947,-156.47,77.02,75.0,1.0,6.91,US,1631776837.0
klaksvik,62.2266,-6.589,47.32,80.0,6.0,7.94,FO,1631776839.0
khatanga,71.9667,102.5,35.6,95.0,100.0,11.97,RU,1631776840.0
mar del plata,-38.0023,-57.5575,44.62,76.0,0.0,6.91,AR,1631776842.0
xingyi,24.1877,102.817,73.81,67.0,99.0,7.43,CN,1631776844.0
hilo,19.7297,-155.09,79.29,94.0,90.0,11.5,US,1631776688.0
hermanus,-34.4187,19.2345,61.9,72.0,99.0,11.01,ZA,1631776845.0
impfondo,1.6381,18.0667,80.08,66.0,100.0,3.69,CG,1631776846.0
lebu,-37.6167,-73.65,46.31,85.0,2.0,6.8,CL,1631776848.0
vaini,-21.2,-175.2,75.36,94.0,20.0,5.75,TO,1631776850.0
hobart,-42.8794,147.3294,52.27,76.0,20.0,13.8,AU,1631776707.0
si sa ket,14.8333,104.3333,85.87,71.0,100.0,5.12,TH,1631776853.0
benghazi,32.1167,20.0667,78.91,56.0,0.0,8.37,LY,1631776853.0
saint george,37.1041,-113.5841,76.53,21.0,1.0,4.0,US,1631776855.0
saint-philippe,-21.3585,55.7679,78.35,72.0,0.0,11.27,RE,1631776856.0
montorio al vomano,42.5831,13.6383,74.82,36.0,100.0,3.56,IT,1631776858.0
avera,33.194,-82.5271,72.28,98.0,100.0,6.69,US,1631776859.0
trinidad,-14.8333,-64.9,74.17,55.0,76.0,5.32,BO,1631776861.0
mahon,39.8885,4.2658,77.56,61.0,40.0,17.27,ES,1631776863.0
bredasdorp,-34.5322,20.0403,58.32,63.0,96.0,9.22,ZA,1631776651.0
udachnyy,66.4167,112.4,47.89,46.0,96.0,13.94,RU,1631776865.0
lauterbach,50.6333,9.4,60.17,89.0,100.0,6.78,DE,1631776866.0
luganville,-15.5333,167.1667,77.49,83.0,52.0,6.08,VU,1631776869.0
castro,-24.7911,-50.0119,56.32,98.0,100.0,6.91,BR,1631776870.0
kavaratti,10.5669,72.642,80.82,82.0,100.0,16.44,IN,1631776872.0
avarua,-21.2078,-159.775,75.25,78.0,40.0,9.22,CK,1631776872.0
kidal,18.4411,1.4078,89.15,33.0,3.0,6.71,ML,1631776874.0
hambantota,6.1241,81.1185,87.31,64.0,97.0,22.7,LK,1631776876.0
puerto quijarro,-17.7833,-57.7667,76.62,58.0,6.0,6.85,BO,1631776876.0
gorontalo,0.5412,123.0595,77.49,95.0,100.0,4.63,ID,1631776878.0
mataura,-46.1927,168.8643,42.48,87.0,53.0,3.02,NZ,1631776878.0
bryan,30.6744,-96.37,73.02,87.0,1.0,0.0,US,1631776879.0
san bartolome,27.9248,-15.5733,63.66,75.0,20.0,16.11,ES,1631776885.0
hithadhoo,-0.6,73.0833,83.32,71.0,73.0,9.71,MV,1631776888.0
ilo,-17.6394,-71.3375,58.87,85.0,68.0,8.75,PE,1631776888.0
san quintin,30.4833,-115.95,68.05,81.0,0.0,12.19,MX,1631776890.0
bluff,-46.6,168.3333,42.8,62.0,60.0,10.8,NZ,1631776891.0
puerto ayora,-0.7393,-90.3518,65.55,96.0,29.0,9.78,EC,1631776892.0
dikson,73.5069,80.5464,38.82,93.0,100.0,24.02,RU,1631776893.0
faanui,-16.4833,-151.75,79.29,73.0,1.0,20.02,PF,1631776895.0
teknaf,20.8624,92.3058,85.35,73.0,99.0,4.74,BD,1631776897.0
port elizabeth,-33.918,25.5701,59.29,72.0,20.0,19.57,ZA,1631776815.0
airai,-8.9266,125.4092,74.91,45.0,32.0,6.35,TL,1631776898.0
cape town,-33.9258,18.4232,62.11,75.0,20.0,5.01,ZA,1631776898.0
meulaboh,4.1363,96.1285,85.82,59.0,63.0,6.76,ID,1631776900.0
lecce,40.2167,18.1667,81.36,73.0,0.0,3.44,IT,1631776900.0
barrow,71.2906,-156.7887,33.82,80.0,90.0,9.22,US,1631776902.0
thompson,55.7435,-97.8558,42.96,93.0,40.0,8.05,CA,1631776903.0
atuona,-9.8,-139.0333,78.13,72.0,3.0,20.98,PF,1631776904.0
cockburn town,21.4612,-71.1419,82.13,80.0,24.0,13.71,TC,1631776906.0
saskylakh,71.9167,114.0833,42.64,87.0,100.0,13.44,RU,1631776907.0
souillac,-20.5167,57.5167,76.35,83.0,75.0,9.22,MU,1631776909.0
port hardy,50.6996,-127.4199,50.0,93.0,1.0,8.05,CA,1631776911.0
bathsheba,13.2167,-59.5167,81.21,89.0,40.0,10.36,BB,1631776913.0
busselton,-33.65,115.3333,53.04,63.0,90.0,20.85,AU,1631776914.0
mokhsogollokh,61.4681,128.9203,49.91,94.0,100.0,5.82,RU,1631776819.0
olsztyn,53.7799,20.4942,58.96,89.0,100.0,9.44,PL,1631776915.0
sioux lookout,50.1001,-91.917,62.98,59.0,75.0,16.11,CA,1631776916.0
moorhead,46.8739,-96.7676,64.94,74.0,1.0,1.99,US,1631776917.0
ouegoa,-20.35,164.4333,70.48,61.0,32.0,10.11,NC,1631776919.0
namatanai,-3.6667,152.4333,81.95,75.0,86.0,9.15,PG,1631776919.0
komsomolskiy,40.4272,71.7189,86.72,17.0,0.0,6.91,UZ,1631776921.0
vila velha,-20.3297,-40.2925,73.35,88.0,40.0,5.75,BR,1631776922.0
ancud,-41.8697,-73.8203,50.43,91.0,100.0,13.27,CL,1631776924.0
longyearbyen,78.2186,15.6401,40.84,70.0,75.0,11.5,SJ,1631776925.0
chokurdakh,70.6333,147.9167,40.77,66.0,100.0,8.16,RU,1631776927.0
bethel,41.3712,-73.414,72.18,83.0,75.0,4.61,US,1631776929.0
cherskiy,68.75,161.3,34.05,65.0,93.0,1.77,RU,1631776930.0
niono,14.2526,-5.993,77.77,77.0,100.0,9.15,ML,1631776932.0
russell,32.3502,-85.1999,71.38,91.0,90.0,0.0,US,1631776933.0
upernavik,72.7868,-56.1549,28.33,79.0,100.0,7.74,GL,1631776934.0
winneba,5.3511,-0.6231,77.47,91.0,84.0,7.47,GH,1631776936.0
krasnyy kut,50.95,46.9667,55.78,43.0,8.0,11.34,RU,1631776938.0
ilulissat,69.2167,-51.1,24.82,36.0,40.0,34.52,GL,1631776939.0
mormugao,15.4,73.8,82.44,74.0,69.0,9.6,IN,1631776941.0
provideniya,64.3833,-173.3,39.45,69.0,99.0,2.98,RU,1631776941.0
ottawa,45.4112,-75.6981,54.99,92.0,20.0,0.0,CA,1631776943.0
hami,42.8,93.45,88.0,10.0,94.0,3.13,CN,1631776944.0
san andres,12.5847,-81.7006,80.62,83.0,75.0,3.44,CO,1631776945.0
iqaluit,63.7506,-68.5145,33.53,93.0,90.0,3.44,CA,1631776951.0
ust-ishim,57.6935,71.1665,57.31,66.0,100.0,5.88,RU,1631776953.0
tarko-sale,64.9225,77.785,47.91,63.0,100.0,10.78,RU,1631776954.0
kananga,-5.8958,22.4178,77.02,69.0,96.0,5.12,CD,1631776956.0
port alfred,-33.5906,26.891,59.4,73.0,97.0,14.32,ZA,1631776958.0
quatre cocos,-20.2078,57.7625,76.08,72.0,3.0,9.53,MU,1631776959.0
solnechnyy,50.7214,136.6319,60.17,63.0,100.0,11.3,RU,1631776961.0
bengkulu,-3.8004,102.2655,83.64,77.0,30.0,9.75,ID,1631776841.0
herat,34.5,62.0,90.81,7.0,0.0,26.26,AF,1631776962.0
potsdam,52.3989,13.0657,64.72,86.0,91.0,9.19,DE,1631776964.0
port macquarie,-31.4333,152.9167,60.76,58.0,38.0,9.91,AU,1631776966.0
leh,34.1667,77.5833,62.53,26.0,17.0,2.86,IN,1631776966.0
simao,22.7886,100.9748,79.57,54.0,100.0,3.69,CN,1631776967.0
east london,-33.0153,27.9116,59.94,67.0,40.0,17.27,ZA,1631776666.0
sayville,40.7359,-73.0821,74.52,90.0,90.0,1.99,US,1631776968.0
georgetown,5.4112,100.3354,91.33,70.0,20.0,1.99,MY,1631776898.0
aksu,41.1231,80.2644,81.86,22.0,50.0,3.62,CN,1631776969.0
vostok,46.4856,135.8833,58.69,59.0,100.0,4.43,RU,1631776970.0
esperance,-33.8667,121.9,64.24,61.0,60.0,28.77,AU,1631776970.0
ishurdi,24.1333,89.0833,88.09,70.0,100.0,5.55,BD,1631776971.0
kodiak,57.79,-152.4072,51.31,93.0,90.0,17.27,US,1631776971.0
khartoum,15.5518,32.5324,92.01,57.0,36.0,1.01,SD,1631776681.0
jamestown,42.097,-79.2353,57.09,99.0,90.0,1.99,US,1631776973.0
sola,-13.8833,167.55,79.14,76.0,31.0,10.78,VU,1631776975.0
villa maria,-32.4075,-63.2402,48.79,38.0,3.0,7.56,AR,1631776976.0
longhua,23.6137,114.1919,86.94,69.0,100.0,3.87,CN,1631776977.0
nikolskoye,59.7035,30.7861,46.29,85.0,100.0,3.78,RU,1631776978.0
kapaa,22.0752,-159.319,76.98,72.0,20.0,10.36,US,1631776979.0
port-cartier,50.0334,-66.8654,49.75,89.0,98.0,6.93,CA,1631776981.0
sarwar,26.0667,75.0,83.86,69.0,100.0,9.73,IN,1631776982.0
dumas,35.8656,-101.9732,71.02,72.0,40.0,9.22,US,1631776982.0
turukhansk,65.8167,87.9833,43.93,81.0,99.0,8.1,RU,1631776983.0
bam,29.106,58.357,93.94,3.0,0.0,6.42,IR,1631776985.0
ponta do sol,32.6667,-17.1,74.03,71.0,21.0,5.26,PT,1631776987.0
hasaki,35.7333,140.8333,73.8,68.0,91.0,18.1,JP,1631776787.0
olafsvik,64.8945,-23.7142,52.56,90.0,100.0,20.8,IS,1631776988.0
arraial do cabo,-22.9661,-42.0278,70.79,96.0,100.0,14.45,BR,1631776990.0
altus,34.6381,-99.334,72.91,77.0,1.0,5.75,US,1631776992.0
cabo san lucas,22.8909,-109.9124,81.61,80.0,9.0,8.9,MX,1631776993.0
faya,18.3851,42.4509,80.71,28.0,15.0,4.14,SA,1631776994.0
tuatapere,-46.1333,167.6833,42.82,81.0,83.0,5.5,NZ,1631776995.0
lagoa,39.05,-27.9833,70.93,77.0,6.0,7.85,PT,1631776996.0
golkoy,40.6875,37.6178,62.01,98.0,100.0,2.37,TR,1631776998.0
lebanon,36.2081,-86.2911,70.97,82.0,75.0,0.0,US,1631776999.0
assiniboia,49.6334,-105.9845,51.71,46.0,100.0,2.3,CA,1631777000.0
skagen,57.7209,10.5839,55.65,88.0,100.0,31.43,DK,1631777001.0
sinegorsk,47.1667,142.5,57.54,67.0,100.0,7.02,RU,1631777003.0
sitka,57.0531,-135.33,49.89,87.0,90.0,8.05,US,1631777009.0
imbituba,-28.24,-48.6703,58.89,92.0,100.0,0.65,BR,1631777010.0
new norfolk,-42.7826,147.0587,51.91,60.0,78.0,1.01,AU,1631777012.0
gelibolu,40.4103,26.6708,69.66,51.0,0.0,6.06,TR,1631777013.0
jumla,29.2747,82.1838,62.83,88.0,100.0,1.66,NP,1631777014.0
baruun-urt,46.6806,113.2792,69.66,31.0,0.0,13.87,MN,1631777015.0
waingapu,-9.6567,120.2641,88.0,54.0,32.0,16.58,ID,1631777015.0
beringovskiy,63.05,179.3167,38.88,78.0,23.0,3.4,RU,1631777015.0
bambous virieux,-20.3428,57.7575,76.21,83.0,75.0,9.22,MU,1631777017.0
deputatskiy,69.3,139.9,44.94,72.0,100.0,4.09,RU,1631777019.0
otradnoye,59.7775,30.8181,46.45,85.0,100.0,3.51,RU,1631777021.0
ballina,-28.8667,153.5667,64.58,63.0,0.0,12.66,AU,1631777023.0
ribeira grande,38.5167,-28.7,68.4,88.0,20.0,0.0,PT,1631777024.0
adrar,20.5022,-10.0711,85.86,24.0,68.0,9.31,MR,1631777025.0
cayenne,4.9333,-52.3333,82.09,83.0,0.0,0.0,GF,1631776888.0
buala,-8.145,159.5921,81.57,77.0,63.0,7.43,SB,1631777027.0
voi,-3.3945,38.563,76.46,63.0,91.0,9.48,KE,1631777029.0
vanderhoof,54.0166,-124.0198,42.87,63.0,0.0,8.97,CA,1631777031.0
pervomayskiy,53.2485,40.2871,50.16,57.0,99.0,12.01,RU,1631777032.0
cidreira,-30.1811,-50.2056,54.97,67.0,99.0,2.84,BR,1631777033.0
tilichiki,60.4667,166.1,45.39,68.0,84.0,7.38,RU,1631777035.0
fortuna,40.5982,-124.1573,58.19,73.0,40.0,0.0,US,1631777037.0
tranby,59.8167,10.25,52.09,94.0,100.0,4.83,NO,1631777038.0
tasiilaq,65.6145,-37.6368,37.56,90.0,99.0,6.67,GL,1631777039.0
simplicio mendes,-7.8539,-41.9103,77.65,51.0,0.0,10.58,BR,1631777041.0
cappelle-la-grande,50.9998,2.3585,60.17,97.0,33.0,1.01,FR,1631777043.0
port lincoln,-34.7333,135.8667,65.14,55.0,64.0,22.48,AU,1631776971.0
dongsheng,39.8161,109.9776,68.0,38.0,0.0,10.76,CN,1631777045.0
aasiaat,68.7098,-52.8699,21.63,97.0,72.0,8.93,GL,1631777045.0
leningradskiy,69.3833,178.4167,29.48,89.0,100.0,4.16,RU,1631777047.0
brzesko,49.9691,20.6061,67.98,80.0,100.0,1.01,PL,1631777049.0
mackenzie,55.2999,-123.1698,37.62,93.0,1.0,2.3,CA,1631777050.0
gobabis,-22.45,18.9667,64.4,12.0,4.0,12.55,NA,1631776834.0
san patricio,28.017,-97.5169,82.26,77.0,7.0,5.14,US,1631777052.0
kawalu,-7.3817,108.2082,83.35,69.0,75.0,6.49,ID,1631777053.0
abapo,-18.8333,-63.4667,55.67,52.0,72.0,2.37,BO,1631777053.0
parana,-31.732,-60.5238,53.56,69.0,0.0,5.21,AR,1631777057.0
tuktoyaktuk,69.4541,-133.0374,44.64,79.0,48.0,8.52,CA,1631777059.0
tazovskiy,67.4667,78.7,43.39,76.0,100.0,4.18,RU,1631777061.0
lorengau,-2.0226,147.2712,76.95,86.0,100.0,5.08,PG,1631777062.0
butaritari,3.0707,172.7902,82.98,71.0,100.0,14.92,KI,1631777063.0
katsuura,35.1333,140.3,78.82,75.0,42.0,15.99,JP,1631777064.0
haines junction,60.7522,-137.5108,37.35,75.0,100.0,1.14,CA,1631777065.0
sobolevo,54.4299,31.8996,46.9,69.0,3.0,6.22,RU,1631777067.0
omsukchan,62.5333,155.8,46.51,71.0,59.0,2.06,RU,1631777068.0
constitucion,-35.3333,-72.4167,49.57,80.0,0.0,7.0,CL,1631777070.0
yellowknife,62.456,-114.3525,41.52,75.0,1.0,13.8,CA,1631777072.0
shingu,33.7333,135.9833,76.91,89.0,100.0,8.68,JP,1631777073.0
saint-augustin,51.226,-58.6502,55.53,98.0,100.0,20.47,CA,1631777079.0
kjollefjord,70.9457,27.3465,38.98,67.0,23.0,6.73,NO,1631777080.0
yining,29.0361,114.5636,90.14,43.0,21.0,3.0,CN,1631777081.0
kapuskasing,49.4169,-82.4331,46.49,100.0,40.0,8.05,CA,1631777082.0
nerekhta,57.4588,40.5747,42.69,68.0,8.0,9.89,RU,1631777083.0
yeppoon,-23.1333,150.7333,74.98,56.0,1.0,12.21,AU,1631777084.0
simbahan,6.3032,120.5836,79.65,83.0,100.0,18.21,PH,1631777085.0
itupiranga,-5.1347,-49.3267,71.92,89.0,4.0,3.38,BR,1631777085.0
bandarbeyla,9.4942,50.8122,89.24,52.0,100.0,24.09,SO,1631777087.0
clairmont,55.2667,-118.786,40.93,87.0,75.0,12.66,CA,1631777089.0
tessalit,20.1986,1.0114,88.32,31.0,0.0,5.35,ML,1631777090.0
stornoway,58.2093,-6.3865,53.92,100.0,40.0,3.44,GB,1631777091.0
lompoc,34.6391,-120.4579,57.51,88.0,90.0,3.44,US,1631777093.0
tiksi,71.6872,128.8694,43.93,74.0,100.0,5.14,RU,1631777094.0
kholmogory,64.2229,41.656,46.51,69.0,41.0,8.32,RU,1631777095.0
alice springs,-23.7,133.8833,96.35,11.0,41.0,16.11,AU,1631776811.0
sidi ali,36.0998,0.4206,69.53,81.0,48.0,3.91,DZ,1631777097.0
anadyr,64.75,177.4833,43.3,75.0,0.0,8.95,RU,1631777099.0
kavieng,-2.5744,150.7967,81.99,76.0,87.0,9.51,PG,1631777100.0
pleasanton,37.6624,-121.8747,59.47,85.0,1.0,10.36,US,1631777102.0
tshela,-4.9833,12.9333,76.62,78.0,99.0,3.38,CD,1631777104.0
carnarvon,-24.8667,113.6333,71.67,46.0,19.0,19.57,AU,1631777025.0
nuuk,64.1835,-51.7216,34.41,69.0,20.0,8.05,GL,1631777106.0
churachandpur,24.3333,93.6667,79.88,78.0,100.0,1.01,IN,1631777107.0
mhlume,-26.0333,31.85,69.87,68.0,100.0,4.79,SZ,1631777108.0
aberdeen,57.1437,-2.0981,55.89,88.0,90.0,9.22,GB,1631777109.0
aklavik,68.2191,-135.0107,47.12,80.0,83.0,1.68,CA,1631777111.0
batemans bay,-35.7167,150.1833,61.2,65.0,90.0,4.23,AU,1631777112.0
peniche,39.3558,-9.3811,69.46,90.0,100.0,15.68,PT,1631777113.0
gillette,44.2911,-105.5022,68.23,28.0,1.0,8.01,US,1631777115.0
ayan,56.45,138.1667,57.65,76.0,100.0,1.23,RU,1631777117.0
lewistown,40.5992,-77.5714,68.99,100.0,90.0,0.0,US,1631777118.0
matay,28.419,30.7792,80.42,49.0,0.0,13.82,EG,1631777120.0
itarema,-2.9248,-39.9167,78.21,85.0,14.0,14.14,BR,1631777121.0
tromso,69.6496,18.957,41.02,81.0,0.0,2.3,NO,1631777123.0
bucerias,20.75,-105.3333,77.99,98.0,36.0,2.44,MX,1631777124.0
prince george,53.9166,-122.753,45.25,74.0,75.0,1.01,CA,1631777125.0
mahebourg,-20.4081,57.7,76.24,83.0,75.0,9.22,MU,1631777126.0
samana,19.2056,-69.3369,75.85,90.0,8.0,3.74,DO,1631777128.0
grindavik,63.8424,-22.4338,52.27,100.0,90.0,17.27,IS,1631777129.0
flinders,-34.5833,150.8552,62.2,67.0,50.0,5.01,AU,1631777131.0
fuxin,42.0156,121.6589,72.18,56.0,100.0,10.98,CN,1631777131.0
balkhash,46.844,74.9804,75.81,19.0,0.0,11.18,KZ,1631777132.0
la plata,-34.9215,-57.9545,55.99,76.0,0.0,8.28,AR,1631777133.0
vila franca do campo,37.7167,-25.4333,64.81,81.0,7.0,0.72,PT,1631777135.0
touros,-5.1989,-35.4608,76.1,90.0,59.0,11.99,BR,1631777136.0
scottsbluff,41.8666,-103.6672,71.29,34.0,1.0,7.0,US,1631777144.0
kaeo,-35.1,173.7833,60.33,95.0,66.0,10.04,NZ,1631777145.0
porto novo,6.4965,2.6036,76.82,86.0,76.0,3.87,BJ,1631777146.0
namibe,-15.1961,12.1522,61.43,100.0,90.0,6.91,AO,1631777148.0
plainview,40.7765,-73.4673,74.75,91.0,75.0,1.01,US,1631777149.0
qaanaaq,77.484,-69.3632,15.78,75.0,100.0,8.43,GL,1631777150.0
marsh harbour,26.5412,-77.0636,81.88,72.0,4.0,8.37,BS,1631777152.0
talnakh,69.4865,88.3972,38.3,97.0,100.0,12.03,RU,1631777153.0
evans,33.5337,-82.1307,71.8,81.0,90.0,8.05,US,1631777155.0
mpika,-11.8343,31.4529,77.32,34.0,6.0,6.33,ZM,1631777156.0
mehamn,71.0357,27.8492,39.11,67.0,20.0,7.4,NO,1631777158.0
burnie,-41.0667,145.9167,55.92,61.0,4.0,4.97,AU,1631777159.0
lucapa,-8.4192,20.7447,78.51,54.0,97.0,5.12,AO,1631777160.0
padang,-0.9492,100.3543,87.85,77.0,42.0,5.08,ID,1631777158.0
castelo do piaui,-5.3222,-41.5525,75.58,64.0,17.0,4.94,BR,1631777162.0
lata,40.1629,-8.3327,65.07,95.0,1.0,2.06,PT,1631777164.0
slave lake,55.2834,-114.769,46.38,76.0,90.0,31.07,CA,1631777166.0
isangel,-19.55,169.2667,73.58,84.0,89.0,7.99,VU,1631777167.0
champerico,14.3,-91.9167,82.35,87.0,66.0,7.18,GT,1631777168.0
nueva loja,0.0847,-76.8828,66.96,99.0,94.0,1.48,EC,1631777169.0
tuxtepec,18.1,-96.1167,76.68,96.0,67.0,1.57,MX,1631777171.0
kununurra,-15.7667,128.7333,98.58,30.0,40.0,14.97,AU,1631777172.0
port blair,11.6667,92.75,80.64,89.0,75.0,11.5,IN,1631777173.0
manono,-7.3,27.4167,85.71,49.0,100.0,2.98,CD,1631777173.0
bandiagara,14.3501,-3.6104,76.46,77.0,70.0,8.57,ML,1631777175.0
jeremie,18.65,-74.1167,79.36,78.0,100.0,3.6,HT,1631777176.0
mirabad,30.4362,61.8383,95.72,8.0,0.0,14.88,AF,1631777177.0
dunedin,-45.8742,170.5036,45.81,67.0,99.0,3.0,NZ,1631777089.0
chichawatni,30.5333,72.7,105.8,26.0,3.0,5.32,PK,1631777179.0
lucenec,48.3325,19.6671,67.73,62.0,100.0,3.98,SK,1631777180.0
oistins,13.0667,-59.5333,80.69,89.0,40.0,10.36,BB,1631777181.0
chapais,49.7834,-74.8492,46.18,98.0,27.0,3.65,CA,1631777183.0
yar-sale,66.8333,70.8333,43.59,73.0,100.0,13.58,RU,1631777184.0
bom jesus,-9.0744,-44.3586,72.1,45.0,0.0,3.06,BR,1631777185.0
kalmunai,7.4167,81.8167,88.03,61.0,61.0,10.0,LK,1631777188.0
asosa,10.0667,34.5333,72.52,67.0,61.0,3.94,ET,1631777188.0
berlevag,70.8578,29.0864,39.15,81.0,20.0,5.75,NO,1631777190.0
kristiinankaupunki,62.2743,21.376,46.44,69.0,96.0,4.59,FI,1631777192.0
uruguaiana,-29.7547,-57.0883,49.93,81.0,0.0,10.36,BR,1631777193.0
pangoa,-12.1167,-73.0,65.21,95.0,52.0,1.86,PE,1631777195.0
laguna,38.421,-121.4238,71.2,79.0,1.0,3.0,US,1631777197.0
malmo,55.6059,13.0007,62.92,89.0,89.0,11.01,SE,1631777107.0
kruisfontein,-34.0033,24.7314,55.89,60.0,82.0,13.15,ZA,1631777198.0
minas,-34.3759,-55.2377,48.67,88.0,0.0,5.86,UY,1631777200.0
enid,36.3956,-97.8784,69.03,83.0,1.0,3.44,US,1631777207.0
sete,43.4018,3.6966,68.9,81.0,100.0,4.56,FR,1631777208.0
turki,51.987,43.2731,52.92,53.0,90.0,8.46,RU,1631777210.0
sur,22.5667,59.5289,93.63,36.0,55.0,5.93,OM,1631777180.0
